Force (N),Position (mm),Time (min)
0.00000,0.00000,0.00422
10.2588,0.00471878,0.00528
34.3243,0.00905944,0.00635
62.3117,0.0132660,0.00741
104.735,0.0177487,0.00847
160.757,0.0212415,0.00953
229.854,0.0238692,0.0106
309.487,0.0264679,0.0117
389.781,0.0294775,0.0127
469.494,0.0316647,0.0138
539.716,0.0344403,0.0148
591.039,0.0384453,0.0159
633.327,0.0421973,0.0170
675.834,0.0457905,0.0180
719.939,0.0494225,0.0191
760.811,0.0540697,0.0202
801.532,0.0578074,0.0212
840.736,0.0616024,0.0223
881.679,0.0653285,0.0233
922.843,0.0688801,0.0244
964.371,0.0735799,0.0255
1007.00,0.0769315,0.0265
1046.58,0.0819440,0.0276
1089.12,0.0855769,0.0287
1132.13,0.0891271,0.0297
1173.25,0.0932169,0.0308
1212.73,0.0969815,0.0318
1248.33,0.100516,0.0329
1285.43,0.105224,0.0340
1322.39,0.109747,0.0350
1360.72,0.112973,0.0361
1403.36,0.116646,0.0372
1447.44,0.121159,0.0382
1489.96,0.124797,0.0393
1531.16,0.128482,0.0403
1573.37,0.132363,0.0414
1615.91,0.136042,0.0425
1660.42,0.140512,0.0435
1708.33,0.144090,0.0446
1758.38,0.147524,0.0457
1808.33,0.151524,0.0467
1862.02,0.154782,0.0478
1915.55,0.158046,0.0488
1971.74,0.161225,0.0499
2028.89,0.164947,0.0510
2086.19,0.168131,0.0520
2143.53,0.172047,0.0531
2203.64,0.175382,0.0542
2264.96,0.178428,0.0552
2325.42,0.181460,0.0563
2387.14,0.184708,0.0573
2450.18,0.187654,0.0584
2511.22,0.191158,0.0595
2575.96,0.194466,0.0605
2637.46,0.197325,0.0616
2703.75,0.200375,0.0627
2769.17,0.203235,0.0637
2835.38,0.206658,0.0648
2902.16,0.210093,0.0658
2970.91,0.212693,0.0669
3041.37,0.215540,0.0680
3109.65,0.218345,0.0690
3179.30,0.221549,0.0701
3248.80,0.224532,0.0712
3316.62,0.227673,0.0722
3384.61,0.230336,0.0733
3454.12,0.233249,0.0743
3522.15,0.236583,0.0754
3588.43,0.239946,0.0765
3653.85,0.242768,0.0775
3720.91,0.245449,0.0786
3786.19,0.248607,0.0796
3850.72,0.251848,0.0807
3916.46,0.254699,0.0818
3979.76,0.258402,0.0828
4042.81,0.261371,0.0839
4102.53,0.264278,0.0850
4165.38,0.267579,0.0860
4224.73,0.270644,0.0871
4282.53,0.274718,0.0881
4340.28,0.277891,0.0892
4396.50,0.281116,0.0903
4452.73,0.284333,0.0913
4508.63,0.287550,0.0924
4563.09,0.291655,0.0935
4619.26,0.294833,0.0945
4672.10,0.298125,0.0956
4725.34,0.302134,0.0966
4778.81,0.304998,0.0977
4833.78,0.308880,0.0988
4886.60,0.312172,0.0998
4940.13,0.315884,0.101
4993.03,0.319210,0.102
5045.77,0.322543,0.103
5098.49,0.326307,0.104
5150.46,0.329954,0.105
5203.37,0.333560,0.106
5255.01,0.337240,0.107
5305.70,0.340573,0.108
5353.97,0.344586,0.109
5406.72,0.348128,0.110
5457.48,0.351530,0.112
5506.41,0.354938,0.113
5554.68,0.358468,0.114
5602.27,0.362945,0.115
5650.94,0.366355,0.116
5699.34,0.369941,0.117
5746.87,0.373450,0.118
5794.59,0.376949,0.119
5843.86,0.380400,0.120
5892.76,0.384654,0.121
5941.12,0.388017,0.122
5990.93,0.391342,0.123
6038.33,0.395234,0.124
6086.80,0.399393,0.125
6135.42,0.402828,0.126
6182.77,0.406721,0.127
6229.70,0.410279,0.129
6276.39,0.413818,0.130
6321.79,0.417790,0.131
6368.07,0.421702,0.132
6412.90,0.425548,0.133
6456.92,0.429160,0.134
6501.17,0.433037,0.135
6546.17,0.436625,0.136
6588.75,0.440260,0.137
6631.77,0.444065,0.138
6677.27,0.447801,0.139
6720.13,0.451650,0.140
6763.31,0.455656,0.141
6805.86,0.459797,0.142
6847.63,0.463501,0.143
6889.24,0.467627,0.144
6929.09,0.471979,0.146
6969.92,0.475719,0.147
