Force (N),Position (mm),Time (min)
-3.33333,0.00000,0.00448
44.4915,0.00498657,0.00594
152.662,0.00892950,0.00740
226.388,0.0137840,0.00886
283.154,0.0188746,0.0103
333.975,0.0244097,0.0118
381.653,0.0303460,0.0132
431.774,0.0367183,0.0147
483.713,0.0416485,0.0162
535.212,0.0474411,0.0176
590.851,0.0528489,0.0191
646.849,0.0579245,0.0205
708.979,0.0634185,0.0220
775.596,0.0677912,0.0234
839.096,0.0731650,0.0249
906.369,0.0790399,0.0264
975.515,0.0836396,0.0278
1050.06,0.0879738,0.0293
1126.96,0.0928335,0.0307
1201.91,0.0976862,0.0322
1281.68,0.102388,0.0337
1361.09,0.106383,0.0351
1445.34,0.111426,0.0366
1531.87,0.116087,0.0380
1614.54,0.119884,0.0395
1702.55,0.124467,0.0409
1790.21,0.129003,0.0424
1882.51,0.132454,0.0439
1973.16,0.136596,0.0453
2066.99,0.140777,0.0468
2164.85,0.144902,0.0482
2259.90,0.149084,0.0497
2357.24,0.153186,0.0512
2450.10,0.157703,0.0526
2543.31,0.161684,0.0541
2634.51,0.165884,0.0555
2718.63,0.170522,0.0570
2802.76,0.174376,0.0584
2884.97,0.179202,0.0599
2959.83,0.183189,0.0614
3035.18,0.188302,0.0628
3105.32,0.192933,0.0643
3171.68,0.198087,0.0657
3239.04,0.203087,0.0672
3303.90,0.208389,0.0687
3368.91,0.213857,0.0701
3435.42,0.218757,0.0716
3498.09,0.224032,0.0730
3561.62,0.229262,0.0745
3622.60,0.234590,0.0759
3684.58,0.239132,0.0774
3745.26,0.244673,0.0789
3809.13,0.249973,0.0803
3868.39,0.255377,0.0818
3928.79,0.260432,0.0832
3988.76,0.265102,0.0847
4046.59,0.270637,0.0862
4106.39,0.276759,0.0876
4165.14,0.281823,0.0891
4222.16,0.286796,0.0905
4280.31,0.292121,0.0920
4336.56,0.297707,0.0934
4393.53,0.302469,0.0949
4449.42,0.307984,0.0964
4506.14,0.313171,0.0978
4561.93,0.318674,0.0993
4616.64,0.325227,0.101
4672.08,0.330047,0.102
4726.03,0.335328,0.104
4779.34,0.340470,0.105
4831.73,0.346221,0.107
4885.10,0.352122,0.108
4938.30,0.357595,0.109
4992.63,0.362773,0.111
5044.56,0.368620,0.112
5096.75,0.373529,0.114
5146.46,0.379013,0.115
5199.04,0.384666,0.117
5248.03,0.390374,0.118
5298.56,0.396061,0.120
5347.58,0.401791,0.121
5398.20,0.407990,0.123
5447.37,0.413199,0.124
5492.42,0.418106,0.126
5542.72,0.424283,0.127
5590.68,0.430052,0.128
5637.08,0.435662,0.130
5684.15,0.441364,0.131
5729.83,0.447148,0.133
5776.11,0.453321,0.134
5822.42,0.458349,0.136
5865.27,0.464704,0.137
5907.83,0.470497,0.139
5952.48,0.475843,0.140
5995.10,0.482234,0.142
6038.58,0.487686,0.143
6080.07,0.493911,0.144
6121.33,0.500016,0.146
6162.82,0.505321,0.147
6204.52,0.510963,0.149
6244.64,0.517431,0.150
6284.20,0.523483,0.152
6322.66,0.529710,0.153
6360.82,0.535253,0.155
6400.43,0.541427,0.156
6438.26,0.547238,0.158
6474.56,0.553020,0.159
6512.57,0.559416,0.161
6547.04,0.564845,0.162
6584.23,0.571191,0.163
6619.09,0.577611,0.165
6653.92,0.583325,0.166
6689.47,0.589532,0.168
6722.13,0.595925,0.169
6756.47,0.602059,0.171
6789.97,0.608324,0.172
6822.22,0.614612,0.174
6854.39,0.620829,0.175
6887.13,0.626331,0.177
6919.31,0.632844,0.178
6949.98,0.638902,0.179
6980.18,0.645286,0.181
7010.97,0.651632,0.182
7040.69,0.658099,0.184
7070.32,0.664425,0.185
7099.93,0.670804,0.187
7128.50,0.676881,0.188
7158.69,0.683138,0.190
7187.28,0.689548,0.191
7215.28,0.695803,0.193
7243.34,0.702465,0.194
7270.01,0.708161,0.196
7297.02,0.714715,0.197
7323.37,0.720962,0.198
7349.05,0.727493,0.200
7376.70,0.733956,0.201
7401.71,0.740704,0.203
7427.55,0.746985,0.204
7452.56,0.753523,0.206
7476.84,0.759916,0.207
7501.57,0.766673,0.209
7526.24,0.772371,0.210
7550.91,0.779219,0.212
7574.92,0.786004,0.213
7598.27,0.792008,0.214
7623.24,0.798556,0.216
7645.24,0.805412,0.217
7667.55,0.812096,0.219
7690.37,0.818228,0.220
7712.52,0.824763,0.222
7736.61,0.830729,0.223
7758.63,0.837584,0.225
7780.63,0.844439,0.226
7801.87,0.851091,0.228
7823.28,0.857385,0.229
7844.93,0.864045,0.231
7865.29,0.870762,0.232
7885.95,0.876869,0.233
7907.64,0.883735,0.235
7928.56,0.890374,0.236
7949.98,0.897502,0.238
7968.99,0.903460,0.239
7988.98,0.909978,0.241
8009.28,0.916676,0.242
8028.26,0.923428,0.244
8048.06,0.929602,0.245
8066.97,0.936930,0.247
8087.30,0.943046,0.248
8106.00,0.950020,0.249
8124.67,0.956070,0.251
8143.30,0.962947,0.252
8162.94,0.970056,0.254
8180.62,0.976878,0.255
8199.30,0.982846,0.257
8217.50,0.989840,0.258
8235.83,0.996317,0.260
8253.63,1.00310,0.261
8270.72,1.01007,0.263
8287.45,1.01654,0.264
8306.00,1.02339,0.266
8323.35,1.03036,0.267
8341.52,1.03685,0.268
8358.85,1.04386,0.270
