Force (N),Position (mm),Time (min)
8375.20,1.05044,0.271
8391.84,1.05664,0.273
8409.17,1.06345,0.274
8425.36,1.07031,0.276
8442.19,1.07714,0.277
8459.36,1.08405,0.279
8474.07,1.09058,0.280
8490.72,1.09713,0.282
8507.05,1.10355,0.283
8523.87,1.11037,0.284
8539.21,1.11722,0.286
8554.70,1.12413,0.287
8571.02,1.13067,0.289
8586.53,1.13785,0.290
8602.20,1.14472,0.292
8617.70,1.15150,0.293
8633.55,1.15847,0.295
8649.21,1.16533,0.296
8663.90,1.17211,0.298
8679.04,1.17901,0.299
8694.54,1.18508,0.301
8708.54,1.19221,0.302
8724.21,1.19879,0.303
8739.90,1.20567,0.305
8753.99,1.21255,0.306
8768.04,1.21952,0.308
8783.57,1.22568,0.309
8799.08,1.23269,0.311
8813.21,1.23917,0.312
8828.70,1.24605,0.314
8841.37,1.25303,0.315
8856.90,1.25991,0.317
8870.91,1.26684,0.318
8885.44,1.27375,0.320
8899.11,1.28057,0.321
8912.91,1.28762,0.322
8928.07,1.29449,0.324
8942.58,1.30089,0.325
8956.05,1.30735,0.327
8968.92,1.31432,0.328
8983.06,1.32124,0.330
8996.92,1.32817,0.331
9009.27,1.33498,0.333
9025.27,1.34214,0.334
9037.74,1.34828,0.336
9051.72,1.35519,0.337
9065.85,1.36219,0.338
9079.39,1.36918,0.340
9092.28,1.37606,0.341
9105.93,1.38288,0.343
9118.84,1.38985,0.344
9132.97,1.39630,0.346
9147.00,1.40340,0.347
9160.17,1.41014,0.349
9173.16,1.41694,0.350
9186.62,1.42356,0.352
9199.30,1.43053,0.353
9212.96,1.43747,0.355
9225.31,1.44446,0.356
9239.31,1.45119,0.357
9253.30,1.45732,0.359
9265.65,1.46530,0.360
9277.94,1.47167,0.362
9291.27,1.47818,0.363
9304.29,1.48517,0.365
9316.52,1.49205,0.366
9330.63,1.49908,0.368
9343.98,1.50604,0.369
9356.32,1.51302,0.371
9368.89,1.51991,0.372
9381.49,1.52677,0.373
9393.39,1.53194,0.375
9406.44,1.54000,0.376
9419.50,1.54739,0.378
9433.50,1.55432,0.379
9445.77,1.56078,0.381
9459.31,1.56723,0.382
9471.99,1.57421,0.384
9484.48,1.58118,0.385
9496.81,1.58846,0.387
9509.19,1.59517,0.388
9521.51,1.60215,0.390
9533.85,1.60903,0.391
9547.69,1.61516,0.392
9560.18,1.62233,0.394
9571.68,1.62905,0.395
9584.35,1.63602,0.397
9597.19,1.64299,0.398
9609.52,1.64997,0.400
9621.86,1.65695,0.401
9635.04,1.66340,0.403
9647.68,1.67087,0.404
9660.34,1.67784,0.406
9672.83,1.68481,0.407
9685.67,1.69107,0.408
9697.53,1.69779,0.410
9709.87,1.70477,0.411
9722.09,1.71169,0.413
9734.54,1.71883,0.414
9747.36,1.72571,0.416
9759.93,1.73260,0.417
9772.67,1.73933,0.419
9783.85,1.74565,0.420
9795.73,1.75338,0.422
9809.37,1.76010,0.423
9821.70,1.76707,0.425
9834.03,1.77326,0.426
9846.39,1.78045,0.427
9859.70,1.78701,0.429
9871.06,1.79402,0.430
9883.40,1.80101,0.432
9894.35,1.80821,0.433
9908.07,1.81497,0.435
9920.40,1.82196,0.436
9932.36,1.82873,0.438
9945.04,1.83590,0.439
9957.63,1.84282,0.441
9970.36,1.84924,0.442
9982.33,1.85601,0.443
9994.69,1.86301,0.445
10007.0,1.86999,0.446
10020.3,1.87652,0.448
10032.7,1.88350,0.449
10043.7,1.89075,0.451
10056.3,1.89729,0.452
10069.3,1.90422,0.454
10080.0,1.91128,0.455
10092.7,1.91828,0.457
10106.3,1.92462,0.458
10118.7,1.93180,0.460
10131.0,1.93817,0.461
10143.3,1.94513,0.462
10155.6,1.95233,0.464
10167.9,1.95967,0.465
10179.7,1.96673,0.467
10192.6,1.97305,0.468
10205.0,1.98008,0.470
10217.4,1.98626,0.471
10229.7,1.99344,0.473
10243.0,2.00059,0.474
10254.4,2.00781,0.476
10266.7,2.01398,0.477
10279.8,2.02112,0.478
10292.2,2.02832,0.480
10304.5,2.03451,0.481
10316.9,2.04168,0.483
10330.0,2.04834,0.484
10341.5,2.05535,0.486
10353.8,2.06233,0.487
10366.3,2.06931,0.489
10378.4,2.07624,0.490
10391.7,2.08174,0.492
10404.4,2.08993,0.493
10417.0,2.09622,0.495
10429.5,2.10327,0.496
10441.9,2.11015,0.497
10453.4,2.11717,0.499
10466.4,2.12405,0.500
10478.3,2.13081,0.502
10492.8,2.13806,0.503
10504.0,2.14436,0.505
10516.7,2.15153,0.506
10529.4,2.15801,0.508
10541.8,2.16475,0.509
10554.4,2.17171,0.511
10566.9,2.17895,0.512
10579.2,2.18589,0.513
10592.7,2.19287,0.515
10605.3,2.19968,0.516
10617.9,2.20666,0.518
10630.3,2.21309,0.519
10642.6,2.22026,0.521
10654.9,2.22744,0.522
10667.2,2.23463,0.524
10681.0,2.24065,0.525
10693.1,2.24777,0.527
10706.7,2.25461,0.528
10719.3,2.26150,0.530
10730.8,2.26848,0.531
10743.1,2.27559,0.532
10756.9,2.28179,0.534
10769.5,2.28878,0.535
10782.7,2.29612,0.537
10795.4,2.30239,0.538
10806.3,2.30934,0.540
10819.1,2.31642,0.541
10832.6,2.32336,0.543
10846.0,2.32993,0.544
10857.5,2.33719,0.546
10871.3,2.34333,0.547
10885.2,2.35041,0.548
10897.4,2.35704,0.550
10910.9,2.36394,0.551
10921.6,2.37069,0.553
10936.3,2.37805,0.554
10948.6,2.38504,0.556
10961.8,2.39147,0.557
10974.3,2.39857,0.559
10987.1,2.40581,0.560
11000.5,2.41268,0.562
11012.8,2.41935,0.563
11024.8,2.42609,0.565
11039.1,2.43327,0.566
11052.5,2.43959,0.567
11065.5,2.44675,0.569
11078.6,2.45361,0.570
11091.8,2.46010,0.572
11102.8,2.46712,0.573
11116.5,2.47405,0.575
11130.3,2.48090,0.576
11142.8,2.48794,0.578
11155.8,2.49446,0.579
11169.1,2.50104,0.581
11181.3,2.50775,0.582
11194.7,2.51476,0.583
11207.8,2.52177,0.585
11220.2,2.52872,0.586
11234.8,2.53532,0.588
11248.2,2.54297,0.589
11261.4,2.54954,0.591
11274.5,2.55628,0.592
11286.8,2.56249,0.594
11299.7,2.56958,0.595
11313.6,2.57666,0.597
11327.1,2.58327,0.598
11339.5,2.59032,0.600
11353.5,2.59721,0.601
11366.1,2.60419,0.602
11380.3,2.61103,0.604
11394.2,2.61789,0.605
11406.6,2.62481,0.607
11420.1,2.63193,0.608
11434.2,2.63808,0.610
11446.5,2.64526,0.611
11459.8,2.65185,0.613
11472.5,2.65860,0.614
11486.9,2.66573,0.616
11499.5,2.67270,0.617
11513.9,2.67886,0.618
11527.2,2.68612,0.620
11539.5,2.69253,0.621
11555.2,2.69945,0.623
11567.5,2.70656,0.624
11580.5,2.71337,0.626
11593.8,2.72030,0.627
11606.6,2.72727,0.629
11620.2,2.73421,0.630
11635.6,2.74109,0.632
11648.2,2.74742,0.633
11661.5,2.75403,0.635
11674.6,2.76099,0.636
11688.6,2.76791,0.637
11702.6,2.77484,0.639
11715.8,2.78171,0.640
11728.9,2.78830,0.642
11744.1,2.79536,0.643
11756.5,2.80240,0.645
11769.5,2.80954,0.646
11783.1,2.81583,0.648
11797.2,2.82299,0.649
11811.2,2.82934,0.651
11825.2,2.83627,0.652
11839.2,2.84320,0.653
11852.1,2.85016,0.655
11864.8,2.85713,0.656
11879.1,2.86363,0.658
11893.6,2.87093,0.659
11907.3,2.87790,0.661
11921.0,2.88420,0.662
11934.8,2.89078,0.664
11949.1,2.89768,0.665
11961.9,2.90466,0.667
11976.1,2.91167,0.668
11989.9,2.91851,0.670
12003.9,2.92499,0.671
12017.9,2.93209,0.672
12031.8,2.93830,0.674
12044.3,2.94543,0.675
12059.3,2.95233,0.677
12073.2,2.95909,0.678
12086.7,2.96604,0.680
12100.4,2.97292,0.681
12114.3,2.97990,0.683
12129.8,2.98609,0.684
12142.8,2.99309,0.686
12157.1,3.00015,0.687
12169.6,3.00722,0.688
12183.5,3.01413,0.690
12199.1,3.02112,0.691
12213.7,3.02717,0.693
12226.2,3.03429,0.694
12240.3,3.04085,0.696
12255.6,3.04793,0.697
12269.9,3.05503,0.699
12283.9,3.06196,0.700
12297.9,3.06885,0.702
12311.2,3.07517,0.703
12326.0,3.08257,0.705
12340.1,3.08884,0.706
12352.9,3.09597,0.707
12367.9,3.10248,0.709
12381.8,3.10938,0.710
12396.1,3.11613,0.712
12409.8,3.12324,0.713
12425.0,3.12932,0.715
12439.5,3.13647,0.716
12452.9,3.14361,0.718
12467.5,3.14987,0.719
12481.5,3.15681,0.721
12495.5,3.16371,0.722
12510.3,3.17057,0.723
12525.2,3.17716,0.725
12540.2,3.18407,0.726
12552.6,3.19105,0.728
12566.8,3.19762,0.729
12581.2,3.20433,0.731
12596.1,3.21167,0.732
12610.1,3.21792,0.734
12624.9,3.22502,0.735
12639.7,3.23138,0.737
12655.1,3.23815,0.738
12669.5,3.24521,0.740
12683.4,3.25210,0.741
12697.5,3.25908,0.742
12712.8,3.26586,0.744
12726.5,3.27250,0.745
12742.0,3.27952,0.747
12756.3,3.28634,0.748
12771.3,3.29323,0.750
12785.9,3.29995,0.751
12800.0,3.30607,0.753
12813.9,3.31320,0.754
12829.2,3.32013,0.756
12844.3,3.32738,0.757
12859.3,3.33366,0.758
12873.3,3.34059,0.760
12888.9,3.34744,0.761
12903.6,3.35433,0.763
12917.9,3.36085,0.764
12932.9,3.36797,0.766
12949.1,3.37463,0.767
12964.1,3.38127,0.769
12978.3,3.38803,0.770
12992.6,3.39491,0.772
13007.5,3.40206,0.773
13023.6,3.40866,0.775
13037.0,3.41498,0.776
13052.3,3.42184,0.777
13067.8,3.42880,0.779
13082.9,3.43556,0.780
13097.9,3.44214,0.782
13113.0,3.44932,0.783
13128.8,3.45614,0.785
13142.8,3.46316,0.786
13157.9,3.46933,0.788
13174.1,3.47587,0.789
13190.2,3.48259,0.791
13204.8,3.48964,0.792
13218.9,3.49624,0.793
13235.0,3.50338,0.795
13249.4,3.51018,0.796
13266.4,3.51715,0.798
13280.2,3.52325,0.799
13297.3,3.52993,0.801
13311.4,3.53700,0.802
13327.1,3.54350,0.804
13342.7,3.55113,0.805
13357.4,3.55766,0.807
13372.7,3.56378,0.808
13388.5,3.57099,0.810
13404.4,3.57727,0.811
13420.0,3.58509,0.812
13434.2,3.59111,0.814
13450.8,3.59803,0.815
13465.8,3.60486,0.817
13482.3,3.61126,0.818
13497.8,3.61814,0.820
13513.0,3.62503,0.821
13529.2,3.63188,0.823
13544.9,3.63876,0.824
13561.5,3.64521,0.826
13576.1,3.65245,0.827
13592.9,3.65929,0.828
13608.2,3.66567,0.830
13623.6,3.67204,0.831
13640.4,3.67887,0.833
13654.5,3.68586,0.834
13670.1,3.69265,0.836
13686.6,3.69950,0.837
13703.6,3.70604,0.839
13718.9,3.71312,0.840
13735.9,3.71952,0.842
13752.6,3.72638,0.843
13768.6,3.73294,0.845
13784.8,3.74030,0.846
13800.3,3.74639,0.847
13814.4,3.75338,0.849
13831.2,3.76020,0.850
13848.3,3.76655,0.852
13863.6,3.77363,0.853
13880.4,3.77970,0.855
13896.1,3.78671,0.856
13911.8,3.79449,0.858
13929.1,3.80082,0.859
13945.1,3.80708,0.861
13960.6,3.81395,0.862
13976.1,3.82090,0.863
13994.0,3.82800,0.865
14010.8,3.83453,0.866
14026.4,3.84109,0.868
14041.8,3.84708,0.869
14057.6,3.85402,0.871
14074.5,3.86093,0.872
14091.6,3.86780,0.874
14108.1,3.87461,0.875
14125.5,3.88136,0.877
14141.1,3.88828,0.878
14156.8,3.89520,0.880
14174.0,3.90146,0.881
14190.3,3.90857,0.882
14207.3,3.91559,0.884
14224.3,3.92162,0.885
14241.0,3.92854,0.887
14257.4,3.93513,0.888
14273.0,3.94196,0.890
14290.2,3.94873,0.891
14306.2,3.95575,0.893
14323.0,3.96188,0.894
14340.3,3.96869,0.896
14357.0,3.97523,0.897
14375.5,3.98200,0.898
14391.2,3.98896,0.900
14408.5,3.99597,0.901
14424.1,4.00249,0.903
14441.1,4.00981,0.904
14459.0,4.01607,0.906
14476.0,4.02300,0.907
14493.0,4.02912,0.909
14509.1,4.03614,0.910
14526.5,4.04249,0.912
14543.0,4.04988,0.913
14561.2,4.05612,0.915
14576.2,4.06359,0.916
14596.0,4.06966,0.917
14612.7,4.07622,0.919
14630.4,4.08299,0.920
14648.1,4.08936,0.922
14663.0,4.09672,0.923
14680.3,4.10353,0.925
14698.5,4.11032,0.926
14715.6,4.11684,0.928
14732.4,4.12347,0.929
14751.2,4.12979,0.931
14767.6,4.13709,0.932
14785.1,4.14320,0.933
14802.5,4.14971,0.935
14820.3,4.15650,0.936
14837.3,4.16333,0.938
14854.8,4.16977,0.939
14872.5,4.17694,0.941
14890.8,4.18371,0.942
14906.4,4.19027,0.944
14923.8,4.19640,0.945
14942.6,4.20326,0.947
14960.7,4.21026,0.948
14976.6,4.21731,0.950
14995.8,4.22427,0.951
15014.0,4.23034,0.952
15032.7,4.23701,0.954
15050.0,4.24383,0.955
15066.3,4.25035,0.957
15084.7,4.25735,0.958
15102.8,4.26415,0.960
15120.7,4.27041,0.961
15138.6,4.27741,0.963
15157.2,4.28440,0.964
15175.2,4.29092,0.966
15193.4,4.29700,0.967
15210.7,4.30381,0.968
15228.4,4.31061,0.970
15246.6,4.31735,0.971
15265.0,4.32394,0.973
15284.0,4.33053,0.974
15302.1,4.33772,0.976
15319.7,4.34452,0.977
15337.1,4.35093,0.979
15356.4,4.35706,0.980
15373.4,4.36391,0.982
15392.5,4.37033,0.983
15410.8,4.37745,0.985
15429.0,4.38437,0.986
15447.6,4.39093,0.987
15466.6,4.39769,0.989
15484.0,4.40450,0.990
15502.6,4.41101,0.992
15521.5,4.41760,0.993
15539.6,4.42381,0.995
15559.9,4.43053,0.996
15577.0,4.43735,0.998
15595.5,4.44407,0.999
15615.6,4.45068,1.00
15633.3,4.45745,1.00
15651.6,4.46441,1.00
15670.3,4.47118,1.00
15688.9,4.47734,1.01
15708.6,4.48369,1.01
15726.4,4.49041,1.01
15745.0,4.49727,1.01
15764.0,4.50402,1.01
15783.3,4.51077,1.01
15801.7,4.51715,1.02
15821.3,4.52407,1.02
15839.9,4.53004,1.02
15858.6,4.53781,1.02
15877.3,4.54398,1.02
15895.9,4.55092,1.02
15915.0,4.55712,1.02
15935.0,4.56383,1.03
15954.7,4.57045,1.03
15973.3,4.57733,1.03
15991.7,4.58390,1.03
16010.7,4.59048,1.03
16029.4,4.59644,1.03
16049.8,4.60339,1.03
16068.9,4.61004,1.04
16087.7,4.61746,1.04
16108.0,4.62358,1.04
16128.4,4.63029,1.04
16145.7,4.63709,1.04
16165.7,4.64381,1.04
16184.1,4.65049,1.04
16203.6,4.65711,1.05
16225.0,4.66302,1.05
16243.7,4.66998,1.05
16263.0,4.67653,1.05
16282.6,4.68323,1.05
16301.7,4.69002,1.05
16321.3,4.69649,1.05
16340.4,4.70350,1.06
16360.0,4.70963,1.06
16381.0,4.71652,1.06
16401.4,4.72265,1.06
16420.1,4.72942,1.06
16438.9,4.73630,1.06
16458.4,4.74331,1.06
16479.4,4.74960,1.07
16499.7,4.75610,1.07
16520.0,4.76301,1.07
16538.4,4.76890,1.07
16558.6,4.77576,1.07
16577.6,4.78223,1.07
16598.4,4.78898,1.07
16618.4,4.79569,1.08
16638.8,4.80242,1.08
16660.1,4.80908,1.08
16679.7,4.81543,1.08
16699.6,4.82250,1.08
16720.0,4.82922,1.08
16738.7,4.83518,1.09
16760.0,4.84266,1.09
16779.3,4.84901,1.09
16800.3,4.85560,1.09
16821.6,4.86176,1.09
16840.6,4.86795,1.09
16860.7,4.87475,1.09
16881.2,4.88145,1.10
16902.5,4.88813,1.10
16921.7,4.89518,1.10
16942.5,4.90128,1.10
16964.0,4.90815,1.10
16984.3,4.91497,1.10
17004.7,4.92168,1.10
17025.0,4.92839,1.11
17046.2,4.93451,1.11
17065.9,4.94081,1.11
17087.5,4.94746,1.11
17107.5,4.95448,1.11
17128.3,4.96088,1.11
17149.2,4.96758,1.11
17171.2,4.97378,1.12
17190.8,4.98088,1.12
17210.3,4.98687,1.12
17232.6,4.99386,1.12
17253.7,5.00005,1.12
17275.5,5.00669,1.12
17295.1,5.01302,1.12
17316.4,5.02012,1.13
17336.7,5.02683,1.13
17359.2,5.03317,1.13
17380.7,5.04004,1.13
17400.8,5.04596,1.13
17422.7,5.05260,1.13
17444.2,5.05918,1.13
17465.4,5.06657,1.14
17485.2,5.07236,1.14
17506.1,5.07930,1.14
17528.5,5.08586,1.14
17551.1,5.09237,1.14
17572.1,5.09928,1.14
17592.4,5.10587,1.14
17612.9,5.11178,1.15
17634.7,5.11833,1.15
17656.4,5.12534,1.15
17679.0,5.13174,1.15
17701.8,5.13816,1.15
17722.7,5.14505,1.15
17745.1,5.15110,1.16
17766.7,5.15776,1.16
17787.4,5.16448,1.16
17810.3,5.17085,1.16
17831.8,5.17778,1.16
17853.8,5.18422,1.16
17876.8,5.19104,1.16
17898.4,5.19690,1.17
17920.1,5.20337,1.17
17943.1,5.21001,1.17
17965.1,5.21744,1.17
17986.8,5.22332,1.17
18008.5,5.22999,1.17
18031.2,5.23663,1.17
18054.5,5.24324,1.18
18075.2,5.24985,1.18
18096.8,5.25561,1.18
18118.8,5.26243,1.18
18139.5,5.26895,1.18
18163.5,5.27612,1.18
18186.8,5.28215,1.18
18208.7,5.28910,1.19
18230.5,5.29498,1.19
18254.1,5.30158,1.19
18276.2,5.30824,1.19
18297.7,5.31491,1.19
18321.0,5.32152,1.19
18342.8,5.32805,1.19
18365.8,5.33480,1.20
18387.7,5.34145,1.20
18409.0,5.34765,1.20
18433.5,5.35419,1.20
18455.5,5.36087,1.20
18478.7,5.36722,1.20
18501.2,5.37369,1.20
18523.5,5.37975,1.21
18546.8,5.38637,1.21
18568.8,5.39302,1.21
18593.6,5.39959,1.21
18615.2,5.40605,1.21
18638.5,5.41264,1.21
18661.9,5.41945,1.21
18683.5,5.42531,1.22
18706.9,5.43212,1.22
18731.1,5.43831,1.22
18753.3,5.44479,1.22
18776.5,5.45147,1.22
18800.3,5.45820,1.22
18824.6,5.46477,1.23
18846.9,5.47142,1.23
18870.3,5.47803,1.23
18893.5,5.48461,1.23
18916.9,5.49124,1.23
18940.3,5.49722,1.23
18963.6,5.50346,1.23
18987.3,5.51006,1.24
19011.6,5.51653,1.24
19035.3,5.52324,1.24
19058.6,5.52985,1.24
19082.9,5.53642,1.24
19106.9,5.54300,1.24
19130.3,5.54958,1.24
19153.6,5.55538,1.25
19177.9,5.56214,1.25
19201.2,5.56842,1.25
19225.3,5.57500,1.25
19248.6,5.58161,1.25
19272.2,5.58822,1.25
19296.9,5.59476,1.25
19320.5,5.60083,1.26
19345.7,5.60769,1.26
19369.2,5.61393,1.26
19394.4,5.62056,1.26
19417.8,5.62705,1.26
19441.3,5.63379,1.26
19465.7,5.63977,1.26
19490.4,5.64642,1.27
19515.1,5.65315,1.27
19540.7,5.65884,1.27
19564.5,5.66568,1.27
19589.1,5.67219,1.27
19613.6,5.67924,1.27
19637.0,5.68574,1.27
19663.1,5.69174,1.28
19688.7,5.69791,1.28
19712.4,5.70449,1.28
19735.5,5.71065,1.28
19761.5,5.71693,1.28
19787.9,5.72366,1.28
19811.3,5.73025,1.28
19836.9,5.73695,1.29
19861.8,5.74327,1.29
19886.6,5.74953,1.29
19912.9,5.75547,1.29
19937.9,5.76297,1.29
19962.9,5.76953,1.29
19987.0,5.77557,1.30
20013.5,5.78162,1.30
20038.1,5.78816,1.30
20063.6,5.79497,1.30
20089.1,5.80151,1.30
20115.4,5.80727,1.30
20139.0,5.81401,1.30
20164.4,5.82029,1.31
20189.4,5.82694,1.31
20215.8,5.83336,1.31
20243.7,5.83987,1.31
20268.5,5.84563,1.31
20293.8,5.85238,1.31
20318.8,5.85858,1.31
20344.6,5.86511,1.32
20372.1,5.87154,1.32
20398.7,5.87806,1.32
20424.0,5.88454,1.32
20449.0,5.89127,1.32
20476.9,5.89696,1.32
20501.9,5.90368,1.32
20526.3,5.90958,1.33
20552.7,5.91616,1.33
20579.4,5.92286,1.33
20606.1,5.92905,1.33
20633.3,5.93556,1.33
20659.4,5.94206,1.33
20685.9,5.94816,1.33
20712.7,5.95506,1.34
20739.4,5.96155,1.34
20765.0,5.96810,1.34
20791.0,5.97442,1.34
20819.3,5.98014,1.34
20844.7,5.98667,1.34
20872.0,5.99308,1.34
20896.8,5.99935,1.35
20925.3,6.00594,1.35
20952.7,6.01205,1.35
20980.7,6.01849,1.35
21007.0,6.02556,1.35
21033.4,6.03151,1.35
21060.7,6.03798,1.35
21088.6,6.04444,1.36
21116.1,6.05068,1.36
21143.7,6.05734,1.36
21170.0,6.06352,1.36
21197.5,6.06972,1.36
21224.3,6.07640,1.36
21252.3,6.08228,1.37
21280.3,6.08875,1.37
21305.3,6.09530,1.37
21333.8,6.10147,1.37
21362.7,6.10816,1.37
21389.5,6.11442,1.37
21417.1,6.12108,1.37
21446.4,6.12668,1.38
21474.1,6.13334,1.38
21502.1,6.14025,1.38
21530.3,6.14587,1.38
21558.7,6.15232,1.38
21585.4,6.15883,1.38
21614.7,6.16520,1.38
21642.8,6.17123,1.39
21669.1,6.17808,1.39
21698.8,6.18359,1.39
21727.0,6.19001,1.39
21756.7,6.19692,1.39
21786.1,6.20332,1.39
21814.1,6.20977,1.39
21842.1,6.21541,1.40
21870.1,6.22218,1.40
21900.9,6.22789,1.40
21928.7,6.23500,1.40
21957.4,6.24141,1.40
21983.7,6.24741,1.40
22014.9,6.25357,1.40
22043.4,6.26006,1.41
22074.4,6.26561,1.41
22103.5,6.27239,1.41
22132.2,6.27885,1.41
22160.4,6.28534,1.41
22189.9,6.29148,1.41
22218.1,6.29767,1.41
22248.3,6.30357,1.42
22278.8,6.30994,1.42
22306.9,6.31639,1.42
22334.9,6.32285,1.42
22365.6,6.32902,1.42
22395.1,6.33561,1.42
22427.3,6.34186,1.42
22456.8,6.34830,1.43
22487.0,6.35403,1.43
22516.2,6.36064,1.43
22545.9,6.36639,1.43
22577.1,6.37284,1.43
22605.5,6.37928,1.43
22637.1,6.38561,1.44
22667.0,6.39199,1.44
22697.4,6.39808,1.44
22727.2,6.40377,1.44
22756.9,6.41029,1.44
22788.2,6.41649,1.44
22817.9,6.42289,1.44
22848.4,6.42925,1.45
22880.6,6.43554,1.45
22910.2,6.44243,1.45
22942.9,6.44791,1.45
