Force (N),Position (mm),Time (min)
3075.22,0.230720,0.0707
3121.11,0.233144,0.0716
3167.37,0.235559,0.0724
3213.59,0.238285,0.0733
3258.45,0.240954,0.0741
3305.55,0.243669,0.0750
3349.07,0.246583,0.0758
3392.41,0.249409,0.0767
3435.37,0.251992,0.0776
3483.65,0.255204,0.0784
3527.75,0.257635,0.0793
3573.82,0.260235,0.0801
3618.81,0.263543,0.0810
3665.84,0.265985,0.0818
3711.54,0.269370,0.0827
3757.01,0.271685,0.0836
3802.33,0.274187,0.0844
3846.91,0.276946,0.0853
3890.02,0.279761,0.0861
3932.55,0.282600,0.0870
3976.22,0.285766,0.0879
4021.29,0.288494,0.0887
4064.33,0.291061,0.0896
4106.75,0.294485,0.0904
4149.04,0.296997,0.0913
4190.14,0.299687,0.0921
4231.53,0.302547,0.0930
4275.14,0.305527,0.0939
4316.20,0.308278,0.0947
4356.89,0.311646,0.0956
4399.95,0.313735,0.0964
4439.08,0.317015,0.0973
4480.76,0.319889,0.0982
4524.29,0.322758,0.0990
4566.24,0.325594,0.0999
4607.33,0.328494,0.101
4648.78,0.331268,0.102
4694.18,0.334143,0.102
4737.03,0.336985,0.103
4780.36,0.339639,0.104
4824.11,0.342467,0.105
4866.98,0.345549,0.106
4913.36,0.348181,0.107
4957.91,0.350968,0.108
5001.05,0.353966,0.108
5046.28,0.356559,0.109
5088.04,0.359445,0.110
5131.38,0.362270,0.111
5174.15,0.364853,0.112
5216.11,0.367992,0.113
5259.67,0.370840,0.114
5301.24,0.373587,0.114
5340.95,0.376647,0.115
5379.91,0.379618,0.116
5421.67,0.382144,0.117
5461.78,0.385436,0.118
5501.69,0.388305,0.119
5541.21,0.390907,0.120
5579.30,0.394319,0.120
5618.92,0.397148,0.121
5661.14,0.400147,0.122
5698.43,0.402849,0.123
5737.26,0.406164,0.124
5775.14,0.409177,0.125
5813.02,0.412190,0.126
5851.63,0.414943,0.126
5889.97,0.417586,0.127
5927.93,0.421179,0.128
5962.97,0.423962,0.129
6000.04,0.426685,0.130
6036.78,0.430373,0.131
6073.05,0.432700,0.132
6109.27,0.436093,0.132
6145.45,0.439576,0.133
6180.57,0.442681,0.134
6216.92,0.445742,0.135
6251.14,0.448768,0.136
6287.43,0.451481,0.137
6323.75,0.454198,0.138
6359.98,0.457805,0.138
6394.63,0.460685,0.139
6431.18,0.463450,0.140
6466.86,0.467260,0.141
6502.58,0.470427,0.142
6539.80,0.473532,0.143
6576.28,0.476511,0.144
6611.84,0.479599,0.144
6646.96,0.482705,0.145
6684.29,0.485393,0.146
6721.17,0.488781,0.147
6758.85,0.491749,0.148
6794.51,0.494419,0.149
6833.70,0.497682,0.150
6869.59,0.500941,0.150
6908.32,0.503895,0.151
6946.31,0.506930,0.152
6986.15,0.509719,0.153
7022.87,0.512384,0.154
7061.87,0.515898,0.155
7100.43,0.518674,0.156
7137.61,0.521101,0.157
7178.46,0.524828,0.157
7215.14,0.527310,0.158
7252.14,0.530920,0.159
7288.92,0.533968,0.160
7326.23,0.536669,0.161
7363.60,0.540027,0.162
7399.34,0.543083,0.163
7434.10,0.545809,0.163
7469.97,0.549312,0.164
7506.60,0.552279,0.165
7541.95,0.555024,0.166
7576.91,0.558442,0.167
7614.91,0.561354,0.168
7651.36,0.564092,0.169
7686.70,0.567723,0.169
7721.22,0.570645,0.170
7756.63,0.573308,0.171
7791.81,0.577052,0.172
7825.97,0.579924,0.173
7859.45,0.582746,0.174
7892.43,0.586537,0.175
7924.19,0.589432,0.175
7956.11,0.592718,0.176
7985.02,0.596074,0.177
8016.55,0.599143,0.178
8045.07,0.602115,0.179
8073.56,0.606060,0.180
8101.92,0.609076,0.181
8129.90,0.612057,0.181
8157.49,0.616064,0.182
8184.36,0.619096,0.183
8210.80,0.622111,0.184
8238.49,0.625752,0.185
8263.21,0.629201,0.186
8289.71,0.632302,0.187
8315.46,0.636377,0.187
8340.01,0.640089,0.188
8365.75,0.643515,0.189
8390.45,0.646668,0.190
8415.10,0.649763,0.191
8441.53,0.652830,0.192
8463.99,0.657003,0.193
8487.84,0.660014,0.193
8512.34,0.663275,0.194
8536.02,0.667373,0.195
8559.63,0.670509,0.196
8584.54,0.673744,0.197
8606.13,0.677826,0.198
8628.86,0.680990,0.199
8652.22,0.684334,0.199
8674.56,0.688349,0.200
8696.34,0.691553,0.201
8718.09,0.695757,0.202
8736.79,0.699357,0.203
8758.96,0.703169,0.204
8781.38,0.706395,0.205
8802.27,0.709630,0.205
8823.05,0.713851,0.206
8843.38,0.716482,0.207
8863.69,0.720366,0.208
8884.11,0.723691,0.209
8903.89,0.727841,0.210
8924.24,0.731925,0.211
8943.31,0.735082,0.211
8962.69,0.738728,0.212
8982.23,0.742019,0.213
9001.48,0.745494,0.214
9022.06,0.749092,0.215
9041.28,0.752845,0.216
9060.50,0.756379,0.217
9079.74,0.760024,0.217
9097.37,0.763774,0.218
9116.95,0.768036,0.219
9136.81,0.771171,0.220
9154.92,0.774648,0.221
9172.50,0.778997,0.222
9190.05,0.782343,0.223
9207.55,0.786644,0.223
9226.55,0.789994,0.224
9245.29,0.793305,0.225
9261.95,0.796799,0.226
9278.63,0.801059,0.227
9296.52,0.804320,0.228
9313.24,0.807945,0.229
9331.41,0.811788,0.229
9349.34,0.815436,0.230
9365.58,0.819050,0.231
9382.41,0.823176,0.232
9399.00,0.826562,0.233
9417.08,0.830192,0.234
9433.57,0.834288,0.235
9450.05,0.837674,0.235
9467.61,0.841368,0.236
9483.49,0.845424,0.237
9499.87,0.849431,0.238
9515.96,0.852618,0.239
9532.03,0.856612,0.240
9547.25,0.860148,0.241
9563.71,0.863882,0.241
9578.86,0.867857,0.242
9595.11,0.871368,0.243
9610.63,0.875168,0.244
9626.01,0.879060,0.245
9642.35,0.882686,0.246
9657.54,0.886707,0.247
9672.45,0.890322,0.247
9689.32,0.893985,0.248
9705.31,0.897736,0.249
9720.14,0.901546,0.250
9736.64,0.905272,0.251
9750.24,0.909096,0.252
9766.33,0.912817,0.253
9781.73,0.916631,0.253
9795.89,0.920447,0.254
9812.36,0.924085,0.255
9826.24,0.927778,0.256
9840.30,0.932020,0.257
9854.75,0.936250,0.258
9870.76,0.939872,0.259
9886.16,0.943293,0.259
9899.89,0.946984,0.260
9915.28,0.950757,0.261
9929.10,0.954573,0.262
9944.23,0.958030,0.263
9959.20,0.962160,0.264
9973.68,0.965571,0.265
9987.29,0.969472,0.265
10002.7,0.973570,0.266
10016.4,0.977370,0.267
10030.0,0.981197,0.268
10045.0,0.985002,0.269
10059.1,0.988734,0.270
10073.9,0.992624,0.271
10088.4,0.996429,0.271
10102.1,1.00012,0.272
10116.9,1.00435,0.273
10131.2,1.00801,0.274
10146.3,1.01165,0.275
10159.5,1.01595,0.276
10173.8,1.01929,0.277
10187.9,1.02313,0.277
10201.6,1.02696,0.278
10215.3,1.03083,0.279
10230.0,1.03456,0.280
10243.3,1.03876,0.281
10258.1,1.04222,0.282
10270.7,1.04580,0.283
10285.5,1.05012,0.284
10299.3,1.05370,0.284
10312.0,1.05751,0.285
10327.2,1.06136,0.286
10340.4,1.06492,0.287
10354.3,1.06903,0.288
10368.0,1.07286,0.289
10381.7,1.07650,0.290
10396.2,1.08050,0.290
10409.6,1.08399,0.291
10422.9,1.08794,0.292
10436.7,1.09202,0.293
10450.4,1.09588,0.294
10464.1,1.09967,0.295
10477.8,1.10350,0.296
10489.9,1.10738,0.296
10505.3,1.11080,0.297
10519.1,1.11499,0.298
10531.2,1.11881,0.299
10545.9,1.12202,0.300
10560.2,1.12648,0.301
10572.5,1.13024,0.302
10586.8,1.13370,0.302
10601.4,1.13797,0.303
10615.2,1.14163,0.304
10628.1,1.14513,0.305
10641.0,1.14952,0.306
10654.6,1.15310,0.307
10668.7,1.15658,0.308
10682.1,1.16104,0.308
10695.4,1.16474,0.309
10709.0,1.16804,0.310
10723.3,1.17250,0.311
10735.7,1.17591,0.312
10749.1,1.17951,0.313
10762.9,1.18399,0.314
10775.8,1.18747,0.314
10790.3,1.19095,0.315
10804.1,1.19542,0.316
10816.9,1.19893,0.317
10830.2,1.20293,0.318
10843.5,1.20690,0.319
10856.4,1.21040,0.320
10871.0,1.21385,0.320
10883.8,1.21804,0.321
10899.2,1.22229,0.322
10912.1,1.22580,0.323
10924.8,1.23003,0.324
10938.9,1.23378,0.325
10951.7,1.23727,0.326
10966.6,1.24123,0.326
10978.4,1.24526,0.327
10992.1,1.24874,0.328
11006.7,1.25309,0.329
11017.9,1.25676,0.330
11033.3,1.26018,0.331
11047.0,1.26461,0.332
11060.7,1.26810,0.332
11073.9,1.27164,0.333
11088.2,1.27610,0.334
11100.5,1.27936,0.335
11114.0,1.28311,0.336
11129.3,1.28753,0.337
11141.4,1.29146,0.338
11155.2,1.29530,0.338
11168.9,1.29900,0.339
11181.0,1.30254,0.340
11194.7,1.30603,0.341
11208.5,1.31050,0.342
11222.2,1.31398,0.343
11235.8,1.31750,0.344
11249.1,1.32207,0.344
11263.4,1.32600,0.345
11275.5,1.32989,0.346
11289.2,1.33343,0.347
11302.9,1.33755,0.348
11316.7,1.34138,0.349
11330.4,1.34486,0.350
11342.9,1.34907,0.350
11357.8,1.35280,0.351
11366.7,1.35645,0.352
11384.1,1.36028,0.353
11397.6,1.36429,0.354
11411.9,1.36775,0.355
11424.4,1.37105,0.356
11438.8,1.37570,0.356
11453.2,1.37919,0.357
11466.0,1.38269,0.358
11479.8,1.38717,0.359
11493.5,1.39065,0.360
11505.7,1.39511,0.361
11520.1,1.39834,0.362
11534.7,1.40207,0.362
11548.4,1.40654,0.363
11562.7,1.41000,0.364
11577.0,1.41346,0.365
11589.5,1.41702,0.366
11602.3,1.42149,0.367
11616.6,1.42495,0.368
11630.6,1.42852,0.368
11643.7,1.43292,0.369
11658.0,1.43630,0.370
11671.7,1.43996,0.371
11684.9,1.44436,0.372
11698.8,1.44764,0.373
11712.8,1.45230,0.374
11726.0,1.45580,0.374
11740.6,1.45923,0.375
11754.3,1.46299,0.376
11767.5,1.46700,0.377
11781.8,1.47164,0.378
11796.8,1.47515,0.379
11811.1,1.47894,0.380
11824.7,1.48289,0.380
11838.5,1.48674,0.381
11852.1,1.49020,0.382
11867.1,1.49368,0.383
11881.3,1.49814,0.384
11894.5,1.50164,0.385
11908.8,1.50509,0.386
11922.6,1.50957,0.386
11935.4,1.51308,0.387
11950.3,1.51702,0.388
11964.9,1.52096,0.389
11978.3,1.52446,0.390
11992.8,1.52788,0.391
12006.5,1.53235,0.392
12020.3,1.53585,0.392
12035.5,1.53924,0.393
12048.9,1.54323,0.394
12062.6,1.54775,0.395
12077.8,1.55118,0.396
12091.8,1.55516,0.397
12106.6,1.55909,0.398
12120.6,1.56256,0.398
12134.3,1.56602,0.399
12148.1,1.57050,0.400
12162.8,1.57394,0.401
12177.1,1.57739,0.402
12190.1,1.58181,0.403
12204.7,1.58536,0.404
12218.4,1.58884,0.404
12233.1,1.59302,0.405
12247.0,1.59676,0.406
12261.2,1.60123,0.407
12275.0,1.60470,0.408
12288.7,1.60818,0.409
12304.0,1.61171,0.410
12317.8,1.61605,0.411
12332.9,1.61950,0.411
12346.7,1.62397,0.412
12361.5,1.62741,0.413
12374.6,1.63097,0.414
12390.8,1.63521,0.415
12402.9,1.63935,0.416
12418.9,1.64276,0.417
12433.5,1.64620,0.417
12447.2,1.64980,0.418
12461.8,1.65411,0.419
12476.3,1.65755,0.420
12490.1,1.66205,0.421
12505.5,1.66547,0.422
12520.9,1.66884,0.423
12534.7,1.67323,0.423
12550.1,1.67680,0.424
12563.9,1.68027,0.425
12578.0,1.68473,0.426
12592.8,1.68814,0.427
12608.3,1.69159,0.428
12621.2,1.69540,0.429
12635.8,1.69955,0.429
12651.0,1.70302,0.430
12664.4,1.70728,0.431
12680.6,1.71132,0.432
12695.5,1.71441,0.433
12710.3,1.71872,0.434
12724.8,1.72218,0.435
12739.9,1.72579,0.435
12754.4,1.72953,0.436
12769.3,1.73350,0.437
12784.4,1.73717,0.438
12799.2,1.74138,0.439
12813.9,1.74482,0.440
12829.8,1.74893,0.441
12843.6,1.75270,0.441
12858.4,1.75615,0.442
12873.2,1.75992,0.443
12888.0,1.76401,0.444
12902.9,1.76750,0.445
12918.3,1.77128,0.446
12932.5,1.77535,0.447
12948.9,1.77884,0.447
12962.8,1.78320,0.448
12976.9,1.78659,0.449
12992.0,1.79020,0.450
13008.2,1.79401,0.451
13023.0,1.79794,0.452
13038.2,1.80159,0.453
13052.6,1.80539,0.453
13067.5,1.80918,0.454
13084.4,1.81264,0.455
13099.7,1.81667,0.456
13115.2,1.82047,0.457
13130.5,1.82423,0.458
13146.2,1.82773,0.459
13159.7,1.83179,0.459
13175.1,1.83560,0.460
13190.5,1.83938,0.461
13205.7,1.84306,0.462
13221.3,1.84693,0.463
13237.0,1.85069,0.464
13252.1,1.85432,0.465
13266.6,1.85826,0.465
13282.8,1.86214,0.466
13297.8,1.86623,0.467
13312.7,1.87003,0.468
13329.0,1.87341,0.469
13343.9,1.87712,0.470
13359.8,1.88125,0.471
13375.2,1.88467,0.471
13391.2,1.88840,0.472
13406.0,1.89252,0.473
13420.5,1.89584,0.474
13437.8,1.90033,0.475
13452.7,1.90366,0.476
13469.0,1.90717,0.477
13483.5,1.91096,0.477
13499.7,1.91488,0.478
13514.8,1.91850,0.479
13529.6,1.92229,0.480
13543.8,1.92599,0.481
13559.7,1.92964,0.482
13575.8,1.93364,0.483
13592.1,1.93734,0.483
13608.7,1.94081,0.484
13624.0,1.94463,0.485
13640.0,1.94863,0.486
13656.3,1.95234,0.487
13672.2,1.95618,0.488
13688.3,1.96038,0.489
13704.8,1.96396,0.489
13719.9,1.96739,0.490
13735.0,1.97083,0.491
13751.6,1.97442,0.492
13766.8,1.97864,0.493
13782.6,1.98258,0.494
13799.0,1.98643,0.495
13814.4,1.99047,0.495
13830.3,1.99423,0.496
13846.7,1.99764,0.497
13863.2,2.00103,0.498
13878.1,2.00450,0.499
13894.5,2.00885,0.500
13909.8,2.01228,0.501
13925.9,2.01576,0.501
13941.5,2.01986,0.502
13958.8,2.02345,0.503
13975.0,2.02694,0.504
13991.3,2.03123,0.505
14006.5,2.03543,0.506
14022.1,2.03843,0.507
14038.6,2.04220,0.507
14055.1,2.04624,0.508
14071.6,2.04997,0.509
14087.8,2.05328,0.510
14102.9,2.05767,0.511
14119.1,2.06118,0.512
14135.8,2.06498,0.513
14152.3,2.06871,0.513
14168.7,2.07233,0.514
14185.2,2.07619,0.515
14201.7,2.07992,0.516
14216.8,2.08353,0.517
14233.9,2.08689,0.518
14251.1,2.09114,0.519
14267.6,2.09464,0.519
14285.3,2.09835,0.520
14300.7,2.10235,0.521
14316.4,2.10581,0.522
14334.6,2.10914,0.523
14350.1,2.11316,0.524
14366.7,2.11728,0.525
14384.6,2.12077,0.525
14401.1,2.12471,0.526
14417.6,2.12845,0.527
14435.3,2.13188,0.528
14452.4,2.13557,0.529
14468.7,2.13960,0.530
14486.8,2.14295,0.531
14503.3,2.14702,0.531
14519.7,2.15073,0.532
14536.1,2.15446,0.533
14552.7,2.15822,0.534
14569.2,2.16188,0.535
14586.1,2.16515,0.536
14605.1,2.16934,0.537
14621.6,2.17259,0.538
14638.4,2.17630,0.538
14655.2,2.18053,0.539
14673.1,2.18403,0.540
14690.4,2.18793,0.541
14707.7,2.19164,0.542
14725.4,2.19507,0.543
14740.6,2.19849,0.544
14758.3,2.20271,0.544
14775.2,2.20621,0.545
14792.9,2.20971,0.546
14811.4,2.21388,0.547
14825.9,2.21720,0.548
14842.8,2.22070,0.549
14860.8,2.22503,0.550
14877.3,2.22838,0.550
14895.6,2.23174,0.551
14913.5,2.23608,0.552
14929.2,2.23944,0.553
14946.7,2.24284,0.554
14964.5,2.24717,0.555
14981.6,2.25080,0.556
14999.4,2.25386,0.556
15016.5,2.25806,0.557
15034.7,2.26156,0.558
15049.8,2.26576,0.559
15069.8,2.26926,0.560
15086.3,2.27250,0.561
15104.5,2.27686,0.562
15122.5,2.28031,0.562
15140.6,2.28364,0.563
15158.1,2.28760,0.564
15176.6,2.29130,0.565
15194.0,2.29465,0.566
15212.0,2.29899,0.567
15229.5,2.30233,0.568
15245.6,2.30654,0.568
15263.5,2.31006,0.569
15282.2,2.31336,0.570
15299.6,2.31758,0.571
15317.4,2.32098,0.572
15336.4,2.32419,0.573
15354.1,2.32865,0.574
15370.9,2.33209,0.574
15390.3,2.33538,0.575
15407.9,2.33862,0.576
15424.9,2.34309,0.577
15444.7,2.34636,0.578
15461.2,2.35075,0.579
15479.3,2.35407,0.580
15498.6,2.35732,0.580
15516.8,2.36078,0.581
15534.5,2.36531,0.582
15553.7,2.36828,0.583
15571.6,2.37180,0.584
15589.8,2.37598,0.585
15608.0,2.37931,0.586
15627.1,2.38283,0.586
15644.9,2.38692,0.587
15662.5,2.39029,0.588
15680.6,2.39390,0.589
15698.7,2.39858,0.590
15716.3,2.40178,0.591
15735.6,2.40559,0.592
15754.2,2.40890,0.592
15772.9,2.41224,0.593
15790.9,2.41589,0.594
15809.6,2.41984,0.595
15828.5,2.42406,0.596
15847.3,2.42745,0.597
15865.2,2.43148,0.598
15885.1,2.43506,0.598
15904.5,2.43803,0.599
15923.3,2.44165,0.600
15941.2,2.44520,0.601
15960.0,2.44928,0.602
15977.8,2.45264,0.603
15996.1,2.45623,0.604
16016.1,2.46022,0.604
16035.2,2.46349,0.605
16054.9,2.46808,0.606
16073.9,2.47150,0.607
16091.1,2.47475,0.608
16109.7,2.47826,0.609
16128.9,2.48179,0.610
16148.2,2.48584,0.610
16167.4,2.48913,0.611
16186.6,2.49271,0.612
16204.7,2.49639,0.613
16223.4,2.50006,0.614
16243.2,2.50434,0.615
16263.3,2.50755,0.616
16282.7,2.51188,0.616
16301.9,2.51495,0.617
16321.6,2.51845,0.618
16340.6,2.52187,0.619
16360.3,2.52600,0.620
16378.9,2.52935,0.621
16398.1,2.53280,0.622
16417.3,2.53693,0.622
16436.7,2.54021,0.623
16456.0,2.54371,0.624
16475.9,2.54776,0.625
16495.5,2.55159,0.626
16514.9,2.55458,0.627
16535.3,2.55858,0.628
16552.7,2.56179,0.628
16573.3,2.56552,0.629
16594.3,2.56927,0.630
16614.4,2.57271,0.631
16633.7,2.57636,0.632
16653.0,2.58026,0.633
16672.0,2.58362,0.634
16693.5,2.58749,0.634
16713.7,2.59095,0.635
16734.3,2.59438,0.636
16752.6,2.59845,0.637
16773.0,2.60177,0.638
16793.5,2.60526,0.639
16813.2,2.60889,0.640
16834.0,2.61254,0.640
16852.6,2.61611,0.641
16871.5,2.61981,0.642
16891.8,2.62342,0.643
16910.9,2.62693,0.644
16930.7,2.63069,0.645
16951.1,2.63424,0.646
16971.3,2.63790,0.646
16990.0,2.64156,0.647
17010.4,2.64505,0.648
17029.6,2.64880,0.649
17050.7,2.65237,0.650
17071.4,2.65580,0.651
17091.3,2.65958,0.652
17111.3,2.66288,0.652
17132.4,2.66658,0.653
17153.3,2.67038,0.654
17172.7,2.67403,0.655
17194.7,2.67730,0.656
17215.0,2.68119,0.657
17233.6,2.68485,0.658
17256.1,2.68805,0.658
17277.0,2.69197,0.659
17296.2,2.69558,0.660
17317.0,2.69956,0.661
17337.7,2.70274,0.662
17357.2,2.70634,0.663
17378.9,2.70955,0.664
17400.7,2.71355,0.665
17421.3,2.71699,0.665
17441.6,2.72024,0.666
17461.9,2.72436,0.667
17482.5,2.72773,0.668
17503.5,2.73098,0.669
17525.7,2.73509,0.670
17545.8,2.73860,0.671
17566.8,2.74267,0.671
17588.7,2.74586,0.672
17609.6,2.74942,0.673
17632.1,2.75295,0.674
17653.3,2.75624,0.675
17675.9,2.76005,0.676
17696.0,2.76354,0.677
17717.3,2.76715,0.677
17738.6,2.77073,0.678
17760.6,2.77407,0.679
17782.9,2.77777,0.680
17804.3,2.78148,0.681
17825.4,2.78506,0.682
17847.2,2.78838,0.683
17867.7,2.79222,0.683
17889.5,2.79577,0.684
17911.2,2.79908,0.685
17932.6,2.80230,0.686
17952.2,2.80617,0.687
17978.7,2.80962,0.688
17999.5,2.81336,0.689
18021.4,2.81655,0.689
18045.0,2.82056,0.690
18067.0,2.82389,0.691
18089.0,2.82709,0.692
18112.5,2.83122,0.693
18134.1,2.83472,0.694
18154.9,2.83832,0.695
18176.9,2.84188,0.695
18198.6,2.84524,0.696
18222.0,2.84893,0.697
18244.4,2.85242,0.698
18265.8,2.85564,0.699
18287.2,2.85961,0.700
18310.4,2.86302,0.701
18332.4,2.86622,0.701
18354.3,2.87022,0.702
18377.7,2.87357,0.703
18398.9,2.87676,0.704
18420.6,2.88094,0.705
18444.2,2.88427,0.706
18467.4,2.88785,0.707
18489.6,2.89140,0.707
18511.9,2.89467,0.708
18535.7,2.89843,0.709
18558.7,2.90195,0.710
18582.3,2.90512,0.711
18604.3,2.90899,0.712
18626.3,2.91252,0.713
18649.3,2.91568,0.713
18672.6,2.91918,0.714
18693.8,2.92301,0.715
18718.2,2.92617,0.716
18740.8,2.93014,0.717
18762.9,2.93354,0.718
18785.0,2.93672,0.719
18808.9,2.93985,0.719
18830.9,2.94405,0.720
18855.9,2.94714,0.721
18877.9,2.95035,0.722
18901.7,2.95418,0.723
18925.8,2.95761,0.724
18948.7,2.96074,0.725
18973.6,2.96489,0.725
18997.2,2.96803,0.726
19021.3,2.97117,0.727
19043.8,2.97533,0.728
19067.5,2.97847,0.729
19090.6,2.98171,0.730
19115.2,2.98573,0.731
19139.4,2.98894,0.731
19164.3,2.99220,0.732
19186.4,2.99606,0.733
19210.7,2.99927,0.734
19235.5,3.00257,0.735
19260.2,3.00649,0.736
19284.8,3.00960,0.737
19308.0,3.01375,0.737
19331.2,3.01682,0.738
19355.8,3.02002,0.739
19382.1,3.02406,0.740
19404.6,3.02766,0.741
19429.9,3.03035,0.742
19455.1,3.03443,0.743
19479.7,3.03752,0.743
19504.0,3.04070,0.744
19529.3,3.04470,0.745
19555.1,3.04780,0.746
19579.8,3.05191,0.747
19605.4,3.05498,0.748
19631.2,3.05805,0.749
19655.6,3.06183,0.749
19682.0,3.06521,0.750
19708.2,3.06915,0.751
19732.7,3.07238,0.752
19757.6,3.07543,0.753
19782.5,3.07857,0.754
19806.4,3.08254,0.755
19834.1,3.08571,0.755
19859.9,3.08977,0.756
19884.2,3.09246,0.757
19908.1,3.09620,0.758
19934.1,3.09960,0.759
19959.9,3.10358,0.760
19984.8,3.10676,0.761
20010.8,3.10982,0.761
20035.4,3.11292,0.762
20061.3,3.11632,0.763
20085.7,3.12006,0.764
20111.3,3.12321,0.765
20137.7,3.12724,0.766
20162.3,3.13024,0.767
20187.1,3.13350,0.767
20213.5,3.13750,0.768
20238.5,3.14057,0.769
20263.2,3.14384,0.770
20290.2,3.14774,0.771
20315.7,3.15081,0.772
20341.8,3.15406,0.773
20367.6,3.15794,0.773
20393.3,3.16099,0.774
20419.5,3.16431,0.775
20444.9,3.16779,0.776
20471.6,3.17204,0.777
20498.2,3.17522,0.778
20523.0,3.17814,0.779
20551.5,3.18132,0.779
20577.5,3.18528,0.780
20603.8,3.18833,0.781
20630.6,3.19153,0.782
20656.1,3.19549,0.783
20682.1,3.19860,0.784
20708.9,3.20227,0.785
20736.2,3.20513,0.785
20762.6,3.20870,0.786
20788.6,3.21193,0.787
20813.5,3.21538,0.788
20839.8,3.21884,0.789
20867.7,3.22214,0.790
20894.2,3.22542,0.791
20922.4,3.22892,0.792
20950.2,3.23218,0.792
20976.6,3.23584,0.793
21003.1,3.23899,0.794
21032.5,3.24298,0.795
21059.4,3.24601,0.796
21087.3,3.24906,0.797
21114.2,3.25245,0.798
21141.4,3.25606,0.798
21169.9,3.25914,0.799
21197.9,3.26300,0.800
21226.3,3.26600,0.801
21253.8,3.27001,0.802
21280.6,3.27275,0.803
21308.9,3.27603,0.804
21336.5,3.27927,0.804
21364.6,3.28261,0.805
21394.3,3.28597,0.806
21421.4,3.28928,0.807
21449.4,3.29263,0.808
21476.9,3.29600,0.809
21504.9,3.29934,0.810
21534.6,3.30293,0.810
21562.8,3.30570,0.811
21590.9,3.30990,0.812
21619.1,3.31288,0.813
21646.6,3.31601,0.814
21674.8,3.31988,0.815
21704.0,3.32279,0.816
21730.1,3.32603,0.816
21758.2,3.32933,0.817
21787.1,3.33284,0.818
21815.8,3.33603,0.819
21845.2,3.33960,0.820
21874.5,3.34273,0.821
21902.9,3.34598,0.822
21930.2,3.34935,0.822
21958.7,3.35270,0.823
21988.3,3.35591,0.824
22016.9,3.35961,0.825
22047.0,3.36251,0.826
22075.5,3.36590,0.827
22104.6,3.36944,0.828
22133.4,3.37252,0.828
22162.0,3.37568,0.829
22190.3,3.37918,0.830
22220.6,3.38231,0.831
22249.1,3.38579,0.832
22278.2,3.38910,0.833
22308.6,3.39216,0.834
22339.0,3.39563,0.834
22368.1,3.39893,0.835
22396.8,3.40200,0.836
22426.8,3.40551,0.837
22454.6,3.40849,0.838
22485.9,3.41257,0.839
22516.3,3.41552,0.840
22544.9,3.41862,0.840
22576.8,3.42207,0.841
22605.3,3.42504,0.842
22634.1,3.42898,0.843
22664.4,3.43193,0.844
22695.4,3.43474,0.845
22725.6,3.43804,0.846
22755.4,3.44144,0.846
22784.8,3.44461,0.847
22815.7,3.44851,0.848
22846.4,3.45141,0.849
22877.0,3.45438,0.850
22905.9,3.45769,0.851
22936.3,3.46119,0.852
