Force (N),Position (mm),Time (min)
-1.66667,0.00000,0.00376
26.9342,0.00332703,0.00462
100.531,0.00426918,0.00548
176.742,0.00658502,0.00634
233.243,0.00866386,0.00719
272.280,0.0112776,0.00805
310.614,0.0145760,0.00891
343.963,0.0179378,0.00977
381.698,0.0212309,0.0106
415.421,0.0239685,0.0115
452.216,0.0271517,0.0123
488.582,0.0307252,0.0132
523.644,0.0338463,0.0141
559.114,0.0365435,0.0149
593.747,0.0400810,0.0158
625.858,0.0433703,0.0166
660.544,0.0460739,0.0175
692.990,0.0493074,0.0184
726.992,0.0528478,0.0192
759.721,0.0559284,0.0201
792.068,0.0587225,0.0209
817.388,0.0621785,0.0218
837.215,0.0662020,0.0226
860.369,0.0694457,0.0235
883.152,0.0730191,0.0244
906.758,0.0767716,0.0252
932.197,0.0801445,0.0261
959.611,0.0835774,0.0269
988.749,0.0866913,0.0278
1017.75,0.0901139,0.0286
1047.96,0.0934198,0.0295
1079.76,0.0960082,0.0304
1112.25,0.0997622,0.0312
1144.83,0.102599,0.0321
1180.66,0.105544,0.0329
1216.95,0.109040,0.0338
1254.75,0.111331,0.0347
1291.47,0.114673,0.0355
1327.87,0.118132,0.0364
1366.90,0.121028,0.0372
1405.60,0.124025,0.0381
1442.86,0.127009,0.0389
1485.15,0.129787,0.0398
1521.77,0.132627,0.0407
1563.27,0.135704,0.0415
1602.49,0.138377,0.0424
1642.49,0.141822,0.0432
1682.73,0.144809,0.0441
1723.31,0.147436,0.0450
1764.96,0.150169,0.0458
1806.22,0.153364,0.0467
1847.55,0.156413,0.0475
1890.64,0.158850,0.0484
1932.67,0.161436,0.0492
1973.27,0.164691,0.0501
2018.48,0.167117,0.0510
2060.32,0.170136,0.0518
2105.21,0.172836,0.0527
2149.55,0.176280,0.0535
2194.07,0.178713,0.0544
2240.29,0.181093,0.0552
2284.50,0.183859,0.0561
2329.08,0.186956,0.0570
2375.38,0.189382,0.0578
2422.68,0.192076,0.0587
2467.52,0.194857,0.0595
2515.21,0.197530,0.0604
2562.80,0.199937,0.0613
2607.40,0.203187,0.0621
2654.07,0.205712,0.0630
2703.02,0.208349,0.0638
2749.45,0.211093,0.0647
2798.49,0.213702,0.0655
2845.32,0.216411,0.0664
2889.57,0.219172,0.0673
2937.61,0.221866,0.0681
2984.87,0.224929,0.0690
3029.49,0.227941,0.0698
