Force (N),Position (mm),Time (min),Engineering Stress,Engineering Strain,True Strain,True Stress,,,
14272.9,4.18989,0.938,45.43205175,0.279326,0.246333377,58.12240503,,,
14287.6,4.19794,0.94,45.4788433,0.279862667,0.246752781,58.20667366,,,
14305,4.2051,0.941,45.53422922,0.28034,0.247125668,58.29929504,,,
14320.7,4.21294,0.943,45.58420387,0.280862667,0.247533809,58.38710493,,,
14337,4.22121,0.945,45.63608838,0.281414,0.247964156,58.47872256,,,
14353,4.22833,0.946,45.68701796,0.281888667,0.248334511,58.56567054,,,
14369,4.2363,0.948,45.73794755,0.28242,0.248748918,58.65525869,,,
14385,4.24403,0.95,45.78887713,0.282935333,0.249150682,58.74416834,,,
14401,4.25188,0.951,45.83980671,0.283458667,0.249558517,58.8334972,,,
14417,4.25975,0.953,45.89073629,0.283983333,0.249967225,58.92294055,,,
14434.7,4.26748,0.955,45.94707714,0.284498667,0.2503685,59.01895932,,,
14450.8,4.27538,0.956,45.99832503,0.285025333,0.250778433,59.10901296,,,
14467.7,4.28317,0.958,46.0521194,0.285544667,0.251182494,59.20205649,,,
14482.5,4.29059,0.96,46.09922927,0.286039333,0.251567211,59.28542207,,,
14498.4,4.29888,0.961,46.14984054,0.286592,0.251996862,59.37601564,,,
14516.2,4.30671,0.963,46.2064997,0.287114,0.252402503,59.47303265,,,
14532.3,4.31376,0.965,46.25774759,0.287584,0.252767594,59.56073567,,,
14548.2,4.32178,0.966,46.30835886,0.288118667,0.253182756,59.65066147,,,
14565.2,4.32984,0.968,46.36247154,0.288656,0.253599815,59.74527713,,,
14581.5,4.33759,0.97,46.41435605,0.289172667,0.254000669,59.83611917,,,
14598,4.34493,0.971,46.46687719,0.289662,0.254380169,59.92656576,,,
14614.1,4.35296,0.973,46.51812508,0.290197333,0.254795178,60.01756093,,,
14631.6,4.36065,0.975,46.57382931,0.29071,0.255192455,60.11330722,,,
14647.6,4.36851,0.976,46.62475889,0.291234,0.25559835,60.20347392,,,
14663.6,4.3761,0.978,46.67568847,0.29174,0.255990147,60.29285382,,,
14681.1,4.3841,0.98,46.7313927,0.292273333,0.256402941,60.38973262,,,
14697.2,4.39199,0.981,46.78264059,0.292799333,0.256809893,60.48056657,,,
14713.1,4.39912,0.983,46.83325186,0.293274667,0.257177503,60.56825819,,,
14730.1,4.40722,0.985,46.88736454,0.293814667,0.257594961,60.66355993,,,
14746.9,4.41525,0.986,46.94084061,0.29435,0.258008639,60.75787704,,,
14763,4.42235,0.988,46.9920885,0.294823333,0.258374264,60.84645267,,,
14780.7,4.43118,0.99,47.04842935,0.295412,0.258828791,60.94709996,,,
14798.2,4.4383,0.991,47.10413358,0.295886667,0.259195146,61.04161865,,,
14814.2,4.44637,0.993,47.15506316,0.296424667,0.259610219,61.13298704,,,
14830.7,4.4537,0.995,47.20758429,0.296913333,0.259987082,61.2241455,,,
14848.6,4.46203,0.996,47.26456176,0.297468667,0.260415187,61.32428793,,,
14865.5,4.4694,0.998,47.31835613,0.29796,0.260793801,61.41733352,,,
14883.2,4.47739,1,47.37469698,0.298492667,0.261204105,61.51569661,,,
14899.2,4.48496,1,47.42562656,0.298997333,0.261592685,61.60576244,,,
14915.6,4.49242,1,47.47782938,0.299494667,0.261975471,61.69718607,,,
14932.9,4.50054,1,47.53289699,0.300036,0.262391956,61.79447728,,,
14949.1,4.50847,1.01,47.5844632,0.300564667,0.262798529,61.88667151,,,
14967.7,4.51624,1.01,47.64366883,0.301082667,0.263196738,61.9883517,,,
14984.2,4.52358,1.01,47.69618997,0.301572,0.263572765,62.08002537,,,
15001.4,4.53159,1.01,47.75093927,0.302106,0.263982954,62.17678452,,,
15019.4,4.53868,1.01,47.80823505,0.302578667,0.264345889,62.27398706,,,
15035.5,4.54664,1.01,47.85948294,0.303109333,0.264753204,62.3661389,,,
15053.2,4.55464,1.02,47.91582379,0.303642667,0.265162397,62.4651123,,,
15070,4.56216,1.02,47.96929985,0.304144,0.265546887,62.55887458,,,
15086.9,4.56999,1.02,48.02309422,0.304666,0.265947069,62.65409824,,,
15102.7,4.57766,1.02,48.07338718,0.305177333,0.266338919,62.74429528,,,
15120.8,4.58589,1.02,48.13100127,0.305726,0.266759208,62.84589976,,,
15138.2,4.59375,1.02,48.18638719,0.30625,0.267160437,62.94346827,,,
15155.8,4.60124,1.03,48.24240973,0.306749333,0.267542628,63.04073675,,,
15171.8,4.6088,1.03,48.29333931,0.307253333,0.267928244,63.13162879,,,
15191,4.61675,1.03,48.35445481,0.307783333,0.268333592,63.23715009,,,
15206.9,4.6246,1.03,48.40506608,0.308306667,0.26873368,63.32867066,,,
15224.8,4.63181,1.03,48.46204355,0.308787333,0.269101009,63.42650875,,,
15243.3,4.63977,1.03,48.52093088,0.309318,0.269506391,63.52932818,,,
15259.7,4.64756,1.04,48.5731337,0.309837333,0.269902956,63.62290392,,,
15276.2,4.65586,1.04,48.62565483,0.310390667,0.270325312,63.71860425,,,
15294,4.66285,1.04,48.68231399,0.310856667,0.270680868,63.81553585,,,
15312.7,4.67082,1.04,48.74183794,0.311388,0.271086118,63.91946137,,,
15329.1,4.67881,1.04,48.79404076,0.311920667,0.271492221,64.01391049,,,
15346.8,4.68686,1.04,48.85038161,0.312457333,0.271901207,64.11404158,,,
15364.3,4.69397,1.05,48.90608584,0.312931333,0.272262296,64.21033249,,,
15383.8,4.70179,1.05,48.96815627,0.313452667,0.272659293,64.31735544,,,
15400.5,4.71025,1.05,49.02131402,0.314016667,0.273088604,64.41482365,,,
15416.6,4.71738,1.05,49.07256191,0.314492,0.273450279,64.50549005,,,
15433.5,4.72521,1.05,49.12635628,0.315014,0.273847312,64.60184628,,,
15451.1,4.73291,1.05,49.18237882,0.315527333,0.274237599,64.70076366,,,
15468.8,4.74077,1.06,49.23871967,0.316051333,0.274635839,64.80068268,,,
15487.9,4.74774,1.06,49.29951686,0.316516,0.274988853,64.90360274,,,
15505.8,4.75584,1.06,49.35649433,0.317056,0.275398943,65.005267,,,
15523.4,4.76384,1.06,49.41251687,0.317589333,0.275803804,65.10540516,,,
15542.6,4.77091,1.06,49.47363237,0.318060667,0.276161464,65.20924886,,,
15558.9,4.77883,1.06,49.52551688,0.318588667,0.276561973,65.30378527,,,
15575.9,4.78727,1.07,49.57962956,0.319151333,0.276988601,65.40303444,,,
15594,4.79443,1.07,49.63724365,0.319628667,0.277350384,65.50272966,,,
15612.9,4.80246,1.07,49.69740422,0.320164,0.277755971,65.60872394,,,
15629.3,4.8106,1.07,49.74960704,0.320706667,0.278166947,65.70463768,,,
15648.3,4.81754,1.07,49.81008592,0.321169333,0.278517203,65.80755801,,,
15667.2,4.82537,1.07,49.87024649,0.321691333,0.27891223,65.91307257,,,
15684.1,4.83278,1.08,49.92404086,0.322185333,0.279285923,66.0088346,,,
15702.4,4.84093,1.08,49.98229157,0.322728667,0.279696775,66.11300988,,,
15719,4.84858,1.08,50.03513101,0.323238667,0.280082267,66.20842004,,,
15738.4,4.85651,1.08,50.09688313,0.323767333,0.280481712,66.31661739,,,
15756.4,4.8643,1.08,50.15417891,0.324286667,0.28087395,66.4185104,,,
15774,4.87134,1.08,50.21020145,0.324756,0.281228292,66.51626563,,,
15792.4,4.87948,1.09,50.26877047,0.325298667,0.281637843,66.62113447,,,
15810.7,4.88745,1.09,50.32702117,0.32583,0.282038678,66.72507448,,,
15830,4.89439,1.09,50.38845498,0.326292667,0.282387581,66.82983833,,,
15847.6,4.90258,1.09,50.44447752,0.326838667,0.28279917,66.9316833,,,
15865,4.91021,1.09,50.49986344,0.327347333,0.283182464,67.03085907,,,
15883.9,4.91806,1.09,50.56002401,0.327870667,0.283576657,67.13717279,,,
15902.1,4.92608,1.1,50.61795641,0.328405333,0.283979225,67.24116326,,,
15920.9,4.93311,1.1,50.67779867,0.328874,0.284331967,67.34440903,,,
15938.1,4.94112,1.1,50.73254797,0.329408,0.28473373,67.44425513,,,
15957.7,4.94938,1.1,50.79493671,0.329958667,0.285147864,67.5551663,,,
15975.8,4.95711,1.1,50.8525508,0.330474,0.28553527,67.65799667,,,
15993.7,4.96496,1.1,50.90952827,0.330997333,0.285928536,67.76044636,,,
16011.7,4.97201,1.11,50.96682405,0.331467333,0.286281592,67.8606613,,,
16030.6,4.97951,1.11,51.02698461,0.331967333,0.286657047,67.96627663,,,
16050,4.98726,1.11,51.08873673,0.332484,0.287044869,68.07492428,,,
16068.3,4.99554,1.11,51.14698744,0.333036,0.287459048,68.18077555,,,
16086.9,5.00284,1.11,51.20619308,0.333522667,0.287824062,68.28461915,,,
16106.3,5.01078,1.11,51.2679452,0.334052,0.288220927,68.39410483,,,
16124.7,5.0183,1.12,51.32651422,0.334553333,0.288596654,68.49797064,,,
16143.8,5.02606,1.12,51.38731141,0.335070667,0.288984224,68.6056921,,,
16160.9,5.03374,1.12,51.4417424,0.335582667,0.289367651,68.70469949,,,
16180.4,5.04162,1.12,51.50381282,0.336108,0.28976091,68.81465634,,,
16199.6,5.04937,1.12,51.56492832,0.336624667,0.290147531,68.92295513,,,
16217.3,5.05662,1.12,51.62126917,0.337108,0.290509073,69.02321198,,,
16235.5,5.06459,1.13,51.67920157,0.337639333,0.290906369,69.12813274,,,
16255.7,5.07166,1.13,51.74350017,0.338110667,0.291258669,69.23852951,,,
16273.7,5.0795,1.13,51.80079595,0.338633333,0.291649193,69.34227215,,,
16294.6,5.0874,1.13,51.86732271,0.33916,0.292042552,69.45864389,,,
16312.2,5.09537,1.13,51.92334525,0.339691333,0.292439239,69.56125563,,,
16331,5.10271,1.13,51.98318751,0.340180667,0.292804431,69.6668629,,,
16350.5,5.11038,1.14,52.04525794,0.340692,0.293185899,69.77666096,,,
16369,5.11854,1.14,52.10414527,0.341236,0.293591577,69.88395538,,,
16387.9,5.12597,1.14,52.16430584,0.341731333,0.29396082,69.99048362,,,
16407.2,5.13372,1.14,52.22573965,0.342248,0.29434582,70.09989459,,,
16426,5.14113,1.14,52.2855819,0.342742,0.294713792,70.20604682,,,
16445.6,5.14906,1.14,52.34797064,0.343270667,0.295107436,70.31749342,,,
16465.2,5.15698,1.15,52.41035938,0.343798667,0.295500429,70.42897105,,,
16484.6,5.16394,1.15,52.4721115,0.344262667,0.29584566,70.53630053,,,
16503,5.17191,1.15,52.53068052,0.344794,0.296240841,70.64294398,,,
16522.7,5.17938,1.15,52.59338756,0.345292,0.29661109,70.75346354,,,
16542.8,5.18725,1.15,52.65736785,0.345816667,0.297001016,70.86716328,,,
16560.3,5.19526,1.15,52.71307208,0.346350667,0.297397722,70.97027974,,,
16579.9,5.20244,1.16,52.77546082,0.346829333,0.297753188,71.07953871,,,
16601.1,5.21012,1.16,52.84294252,0.347341333,0.298133268,71.19748063,,,
16619.2,5.21803,1.16,52.9005566,0.347868667,0.298524579,71.3030027,,,
16638.9,5.22563,1.16,52.96326365,0.348375333,0.298900411,71.41435828,,,
16657.6,5.23337,1.16,53.0227876,0.348891333,0.29928302,71.52197866,,,
16677.5,5.24116,1.16,53.08613127,0.349410667,0.299667954,71.63499179,,,
16697.5,5.24886,1.17,53.14979325,0.349924,0.300048295,71.7481815,,,
16715.5,5.25602,1.17,53.20708903,0.350401333,0.300401832,71.85092396,,,
16735.2,5.26378,1.17,53.26979607,0.350918667,0.300784855,71.96316188,,,
16756.1,5.27167,1.17,53.33632284,0.351444667,0.301174144,72.08108904,,,
16775.4,5.27896,1.17,53.39775665,0.351930667,0.301533694,72.19006474,,,
16794.8,5.28693,1.17,53.45950876,0.352462,0.301926635,72.30195414,,,
16813.8,5.2945,1.18,53.51998764,0.352966667,0.302299712,72.41075928,,,
16833,5.3022,1.18,53.58110314,0.35348,0.302679053,72.52095148,,,
16854.1,5.30999,1.18,53.64826653,0.353999333,0.303062682,72.63971711,,,
16873.3,5.318,1.18,53.70938203,0.354533333,0.303456992,72.75114827,,,
16891.9,5.32545,1.18,53.76858766,0.35503,0.303823594,72.85804934,,,
16913.3,5.33299,1.18,53.83670598,0.355532667,0.304194489,72.97741362,,,
16933.5,5.34102,1.19,53.90100458,0.356068,0.304589336,73.09342747,,,
16951.6,5.34834,1.19,53.95861867,0.356556,0.304949135,73.1978879,,,
16973,5.35612,1.19,54.02673698,0.357074667,0.305331403,73.31831608,,,
16994.2,5.36369,1.19,54.09421868,0.357579333,0.305703212,73.43719333,,,
17013.6,5.37102,1.19,54.1559708,0.358068,0.306063102,73.54749095,,,
17033.6,5.37894,1.19,54.21963277,0.358596,0.306451814,73.66257621,,,
17053.2,5.38687,1.2,54.28202151,0.359124667,0.306840865,73.77603439,,,
17074.2,5.39476,1.2,54.34886659,0.359650667,0.307227804,73.89547269,,,
17092.5,5.40234,1.2,54.4071173,0.360156,0.307599399,74.00216703,,,
17113.2,5.40963,1.2,54.47300744,0.360642,0.307956647,74.11826179,,,
17133.5,5.41676,1.2,54.53762435,0.361117333,0.308305931,74.23210582,,,
17153.2,5.4245,1.2,54.6003314,0.361633333,0.30868496,74.34563124,,,
17174.5,5.43235,1.21,54.6681314,0.362156667,0.309069228,74.46655964,,,
17194.6,5.43992,1.21,54.73211169,0.362661333,0.30943965,74.58133229,,,
17214.5,5.44818,1.21,54.79545536,0.363212,0.30984368,74.69782229,,,
17233.9,5.45535,1.21,54.85720748,0.36369,0.310194261,74.80822526,,,
17254.8,5.463,1.21,54.92373424,0.3642,0.310568176,74.92695825,,,
17275.9,5.4709,1.21,54.99089763,0.364726667,0.310954164,75.04754442,,,
17295.5,5.47869,1.22,55.05328636,0.365246,0.311334632,75.161279,,,
17317.2,5.48613,1.22,55.12235961,0.365742,0.311697871,75.28292166,,,
17336.8,5.49363,1.22,55.18474835,0.366242,0.312063905,75.39572095,,,
17356.5,5.50156,1.22,55.2474554,0.366770667,0.31245078,75.51060144,,,
17377.8,5.50844,1.22,55.3152554,0.367229333,0.312786308,75.62863977,,,
17399.1,5.51694,1.22,55.38305541,0.367796,0.313200685,75.75272165,,,
17419.5,5.52422,1.23,55.44799062,0.368281333,0.313555451,75.86845054,,,
17440.1,5.53212,1.23,55.51356246,0.368808,0.313940288,75.9874084,,,
17461.4,5.53901,1.23,55.58136247,0.369267333,0.314275804,76.10574397,,,
17482.5,5.54688,1.23,55.64852585,0.369792,0.314658903,76.22690552,,,
17504.1,5.55474,1.23,55.71728079,0.370316,0.31504137,76.35028134,,,
17523.2,5.56196,1.23,55.77807798,0.370797333,0.315392566,76.46044055,,,
